,id,created_at,fav,rt,text
0,1299059620540035072,2020-08-27 19:02:03,1380,192,"Discover a puzzling adventure as a lost ember in search for meaning and a way home in The Last Campfire by @hellogames, available now on #NintendoSwitch!

🔥: https://t.co/CzTSI2FeSX https://t.co/cZT8icR1uT"
1,1299029126846787586,2020-08-27 17:00:53,1881,351,"All aboard the caravan!

#FinalFantasy Crystal Chronicles Remastered Edition is available now on #NintendoSwitch with improved visuals, new content, online multiplayer, cross-platform support and more!

https://t.co/eVTxsQDSkx https://t.co/88HKCwsQAW"
2,1299014221829738498,2020-08-27 16:01:39,1464,141,"The Lore, Legends, and Heroes from Marvel have arrived in Fortnite! Suit up as eight Marvel Heroes and Villains with the Chapter 2 - Season 4 Battle Pass. #FortniteNexusWar

https://t.co/Pfq8sEZf3I https://t.co/MZ8yMSW9I3"
3,1298999090429059076,2020-08-27 15:01:32,1713,157,"The war to save Reality starts now! Drop into Fortnite Chapter 2 - Season 4 and join the fight to save Reality from Galactus. #FortniteNexusWar

https://t.co/v6lNU3RNGX https://t.co/HzNs1CAJ2J"
4,1298788572263329792,2020-08-27 01:05:00,2912,385,"🎶 Play to the beat of your own drum with 39 new and remixed #Zelda songs 🎶

#CadenceOfHyrule: Crypt of the NecroDancer Featuring The Legend of Zelda Season Pass and DLC Pack 2: Melody Pack are available now!

https://t.co/Isxqfp6TUX https://t.co/Wb5Dy1hU6j"
5,1298711843104411648,2020-08-26 20:00:06,2410,207,"A new Ninji Speedruns course, ""Big Shoes Gustin’ in the Desert"", is available now! Ground-pound while wearing a big shoe and you can blow away enemies that normally can’t be defeated. 

Flaunt your favorite footwear &amp; find the fastest way to the finish! #SuperMarioMaker2 https://t.co/hPYpmowv5V"
6,1298681694199910402,2020-08-26 18:00:18,1172,98,"Make a splash with Squirtle in #PokemonCafeMix! Squirtle’s special skill clears icons to the right, a perfect addition for your team, and more importantly an adorable business partner! 

https://t.co/XEXeiAuT7C https://t.co/k2UdZXvkPU"
7,1298666575994793984,2020-08-26 17:00:14,11322,1692,Happy #NationalDogDay to all our favorite canine com-paw-nions! 🐾 https://t.co/dcwBh3gzEr
8,1298646546708406272,2020-08-26 15:40:39,1429,181,"Step into the boxing ring and duke it out against legends from the Rocky and Creed franchises in #BigRumbleBoxing: Creed Champions, coming to #NintendoSwitch Spring 2021.

https://t.co/Iz7zovGgFI https://t.co/E50QxdsX8q"
9,1298642781175504898,2020-08-26 15:25:41,1821,416,"The first three titles in the SaGa series come to #NintendoSwitch in one collection! Battle through fantasy worlds across these classic Game Boy titles when #CollectionofSaGa #FinalFantasy Legend launches on 12/15.

https://t.co/rIHBd7CG5n https://t.co/tYsiUE2wTq"
10,1298641250153713665,2020-08-26 15:19:36,304,30,"Players who log in to World of Tanks Blitz on the Nintendo Switch system prior to Sept. 9th can collect a special free gift from the in-game shop that includes a T2 Medium tank, 3 days of premium account access, 1000 gold (in-game currency), and an exclusive avatar."
11,1298641070578860032,2020-08-26 15:18:53,788,95,"Join a community of players across the world for multiplayer action in World of Tanks Blitz! Choose a tank and become a battlefield hero on your own, or with your friends. Play for free on #NintendoSwitch today! @WoTBlitz

https://t.co/20BxTNQGis https://t.co/qlOTAGubUM"
12,1298639408447578113,2020-08-26 15:12:17,4138,1058,"Drum to save the world in two great RPG adventures when #TAIKO_NO_TATSUJIN: Rhythmic Adventure Pack comes to #NintendoSwitch winter 2020!

https://t.co/eVuIpcoWrA https://t.co/gpuW95qVYU"
13,1298635637076250625,2020-08-26 14:57:18,857,124,"Control the music and share it with the world in the revolutionary music-mixing game, FUSER! Grab your friends and take turns at the decks with the collaborative multiplayer mode when FUSER comes to #NintendoSwitch this fall! #PlayFUSER

https://t.co/m1KbTxJW2X https://t.co/iUMTh2YQ6f"
14,1298632737365151747,2020-08-26 14:45:46,4798,1358,"The ultimate puzzle match is back! #PuyoPuyoTetris2 drops onto #NintendoSwitch on 12/8 with all previous modes, a new story, new additions like Skill Battle Mode, and an expanded Online Mode! 

https://t.co/jLl7QJROmX https://t.co/15K9v08gBS"
15,1298628933999644674,2020-08-26 14:30:39,1700,256,"The ultimate dance game is back! Enjoy 40 hot new tracks with your friends and family when #JustDance2021 comes to #NintendoSwitch on 11/12! 

https://t.co/rvdrkWdmMe https://t.co/HlqoUfwSDm"
16,1298626577505419270,2020-08-26 14:21:18,6657,2159,"Experience the music of KINGDOM HEARTS like never before in #KingdomHearts Melody of Memory! Alongside the fast-paced rhythm-action gameplay, the #NintendoSwitch exclusive Free-for-all mode will allow you to compete with up to 8 players!

Launching 11/13: 
https://t.co/K581ZzF1cZ https://t.co/dW97b7pdw8"
17,1298621223216320519,2020-08-26 14:00:01,21657,4023,"The next edition of #NintendoDirectMini: Partner Showcase is here! Watch now to get a look at several upcoming Nintendo Switch games exclusively from our development and publishing partners!

Watch here: https://t.co/QCgZBShb19 https://t.co/2wwoVTdMkN"
18,1298364531668848645,2020-08-25 21:00:01,8287,936,"#NintendoSwitchOnline members now have access to over 80 classics with the #NES &amp; #SNES – Nintendo Switch Online collections of games!

Become a member or start a free trial today! https://t.co/pQsHtxucpJ https://t.co/PdPY4cZGsO"
19,1298311680397475840,2020-08-25 17:30:00,1179,131,"Hey Red, this month’s #NintendoPower Podcast Game Club features @SupergiantGames’ Transistor. Tune in for a discussion on the game and share your thoughts on this sci-fi noir adventure in the replies!

🎧: https://t.co/eMG2gvbDZT https://t.co/ThddyulfPm"
20,1298274995878191104,2020-08-25 15:04:14,4162,705,"Are you ready to rock?! Start a rock band &amp; end the EDM empire in the musical action-adventure game #NoStraightRoads, available now on #NintendoSwitch!

🎸: https://t.co/DE4SGPUUa5 https://t.co/30fjeGwCd8"
21,1297972191460339713,2020-08-24 19:01:00,3434,476,"Are your current #XenobladeChronicles: Definitive Edition tactics not getting the job done? Get up to speed on the many ways your characters can level up and evolve with this helpful video!

⚔️: https://t.co/ugnWUlr5pz https://t.co/KXpH2IhlL0"
22,1297956915142688768,2020-08-24 18:00:18,1727,151,"Serve up a variety of Pokémon themed offerings by completing café orders! From Fluffy Eevee Pancakes to Swablu Shaved Ice, each order is too cute to eat or drink! What are your favorite café offerings? 🥞 🍧 #PokemonCafeMix

https://t.co/ib6Uxp0gFr https://t.co/hb3pEExp5o"
23,1297639750917132288,2020-08-23 21:00:00,9355,1029,"Please note that code redemption on Nintendo #eShop will be unavailable from 2:00 PM to 6:00 PM PST on 8/24, 8/31, and 9/14 due to scheduled maintenance. We apologize for any inconvenience this may cause. https://t.co/jzDBe9wfTl"
24,1296936493617950720,2020-08-21 22:25:30,2935,246,"It’s an #AnimalCrossing: New Horizons bingo match on this week’s episode of #NintendoMinute! #ACNH

https://t.co/J4P6TE4ZK4 https://t.co/1H1a7omy0j"
25,1296877404682510337,2020-08-21 18:30:42,2542,520,"Will #TeamChicken get roasted, or is it souffle day for #TeamEgg? The #Splatoon2 #Splatfest begins today at 3pm PT and runs for 48 hours, so pick your side and participate in some online Turf War matches tonight!"
26,1296854585773109248,2020-08-21 17:00:02,605,61,"Take on PGA TOUR Pros during your very own career, earning rewards and gear along the way. Play by the rules or create your own in #PGATOUR2K21, available now for #NintendoSwitch on Nintendo #eShop!

https://t.co/tzCgHG6nrZ https://t.co/sDZ6xQyvDL"
27,1296580197878321153,2020-08-20 22:49:43,12921,2056,🤔 https://t.co/0DagxL6ocF
28,1296507364171022343,2020-08-20 18:00:18,1464,134,"Today’s featured #PokemonCafeMix Pokémon is Togepi, an adorable Fairy-type who brings smiles to your café staff! Watch out for Togepi’s special skill that can help you clear surrounding icons and replace with the most common Pokémon icon! https://t.co/627m2ZVII8"
29,1296492475469750274,2020-08-20 17:01:08,2833,384,"It's time to share the fun! Save up to 50% on select digital multiplayer games for #NintendoSwitch from now through 8/30 at 11:59 p.m. PT.

https://t.co/8oQEtGkSmQ https://t.co/cXDGW8ysvJ"
30,1296160038944415745,2020-08-19 19:00:09,1587,117,"How’s business going in your new Pokémon café? We hear the menu is a hit! 

Be sure to keep an eye out as we highlight some of the happy Pokémon that might be helping on your staff and updates to help you keep business booming! #PokemonCafeMix

https://t.co/NzOaKoEjcr https://t.co/6LJl2v1zcW"
31,1296084506613624834,2020-08-19 14:00:01,45582,7637,"Greetings to all the Brazilian Nintendo fans out there! We’re excited to announce that #NintendoSwitch will be coming soon to Brazil!

Stay tuned to these channels for more info:
Facebook: https://t.co/dQwMX6PHP3
Instagram: https://t.co/Sp4HJFQA63 https://t.co/0Ri5a8Vj6l"
